accuracy,loss,val_accuracy,val_loss
0.7490476369857788,0.6644430160522461,0.9138888716697693,0.3068777918815613
0.9416666626930237,0.20727042853832245,0.9466666579246521,0.15759733319282532
0.9589285850524902,0.12899023294448853,0.9572222232818604,0.11345502734184265
0.9670237898826599,0.09989633411169052,0.9611111283302307,0.09525848180055618
0.9704762101173401,0.08365792036056519,0.9666666388511658,0.08132923394441605
0.9744047522544861,0.07245361059904099,0.9755555391311646,0.07086207717657089
0.9785714149475098,0.063369981944561,0.9755555391311646,0.06346717476844788
0.981071412563324,0.05666761472821236,0.976111114025116,0.06041012331843376
0.9817857146263123,0.05165762081742287,0.9750000238418579,0.05599203705787659
0.9830952286720276,0.04798353090882301,0.9811111092567444,0.050855349749326706
